Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Unclustered,Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidiidae_X;Strobilidiidae_X_sp.;,63.88,Candidate novel taxon,12557,7.98,2840
Cluster_27,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Uvigerinidae;Uvigerina;Uvigerina_peregrina;,58.63,Candidate novel taxon,1965,1.25,130
Cluster_205,Eukaryota;Obazoa;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Seriata;Microplana;Microplana_sp.;,44.62,Candidate novel taxon,1863,1.18,225
Cluster_84,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Aspergillus;Aspergillus_niger;,60.12,Candidate novel taxon,1240,0.79,57
Cluster_416,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiales;Chytridiales_X;Chytridiales_XX;Chytridiales_XX_sp.;,45.27,Candidate novel taxon,900,0.57,64
Cluster_155,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Liberomyces;Liberomyces_saliciphilus;,43.79,Candidate novel taxon,636,0.4,82
Cluster_415,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymena;Tetrahymena_australis;,40.96,Candidate novel taxon,529,0.34,66
Cluster_381,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Cassidulinidae;Islandiella;Islandiella_sp.;,57.92,Candidate novel taxon,524,0.33,45
Cluster_431,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_1;PHYLL_4;PHYLL_4_X;PHYLL_4_X_sp.;,59.48,Candidate novel taxon,473,0.3,49
Cluster_785,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Paecilomyces;Paecilomyces_nostocoides;,62.45,Candidate novel taxon,468,0.3,35
Cluster_369,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,58.79,Candidate novel taxon,409,0.26,37
Cluster_386,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymena;Tetrahymena_shanghaiensis;,41.18,Candidate novel taxon,399,0.25,99
Cluster_349,Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia;Vannellida;Vannellida_X;Vannellida_XX;Vannellida_XX_sp.;,55.63,Candidate novel taxon,353,0.22,52
Cluster_163,Eukaryota:mito;Obazoa:mito;Opisthokonta:mito;Fungi:mito;Ascomycota:mito;Pezizomycotina:mito;Lecanoromycetes:mito;Cryptodiscus:mito;Cryptodiscus_pini:mito;,49.53,Candidate novel taxon,326,0.21,70
Cluster_151,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiales;Chytridiales_X;Chytridiales_XX;Chytridiales_XX_sp.;,44.98,Candidate novel taxon,305,0.19,42
Cluster_390,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Vaginicolidae;Vaginicolidae_X;Vaginicolidae_X_sp.;,64.09,Candidate novel taxon,300,0.19,20
Cluster_149,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Aspergillus;Aspergillus_niger;,46.12,Candidate novel taxon,276,0.18,60
Cluster_477,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium_sp.;,58.37,Candidate novel taxon,253,0.16,13
Cluster_423,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Opalozoa_X;MAST-12;MAST-12C;MAST-12C_sp.;,59.7,Candidate novel taxon,228,0.14,16
Cluster_472,Eukaryota;TSAR;Telonemia;Telonemia_X;Telonemia_XX;Telonemia_XXX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;,60.43,Candidate novel taxon,211,0.13,10
Cluster_432,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Evaginogenida;Periacineta;Periacineta_mexicana;,61.28,Candidate novel taxon,201,0.13,15
Cluster_476,Eukaryota;Obazoa;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Seriata;Phagocata;Phagocata_sp.;,59.96,Candidate novel taxon,199,0.13,19
Cluster_135,Eukaryota;TSAR;Telonemia;Telonemia_X;Telonemia_XX;Telonemia_XXX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;,64.64,Candidate novel taxon,193,0.12,17
Cluster_72,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Labyrinthulomycetes_LAB5;Labyrinthulomycetes_LAB5_X;Labyrinthulomycetes_LAB5_X_sp.;,51.96,Candidate novel taxon,193,0.12,34
Cluster_361,Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas;Mediophyceae:plas;Thalassiosirales:plas;Thalassiosirales_X:plas;Thalassiosirales_XX:plas;Thalassiosirales_XX_sp.:plas;,54.33,Candidate novel taxon,172,0.11,25
Cluster_93,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Opalinata;Blastocystis-Group;Blastocystis;Blastocystis_hominis;,60.29,Candidate novel taxon,164,0.1,15
Cluster_385,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Sarcocystidae;Sarcocystis;Sarcocystis_medusiformis;,64.54,Candidate novel taxon,163,0.1,19
Cluster_879,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Graphium;Graphium_sp.;,62.05,Candidate novel taxon,151,0.1,11
