Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Unclustered,Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidiidae_X;Strobilidiidae_X_sp.;,63.88,Candidate novel taxon,12557,7.98,2840
Cluster_465,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Piroplasmorida;Theileriidae;Theileria9;Theileria_annulata;,66.36,Low confidence / possible divergent,5634,3.58,802
Cluster_646,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon_roscoffensis;,75.8,Low confidence / possible divergent,4643,2.95,304
Cluster_862,Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Tokophryidae;Tokophrya;Tokophrya_sp.;,77.6,Low confidence / possible divergent,4078,2.59,324
Cluster_831,Eukaryota;TSAR;Alveolata;Ciliophora;Armophorea;Armophorea_X;Clevelandellida;Nyctotherus_2;Nyctotherus_ovalis;,75.49,Low confidence / possible divergent,3931,2.5,256
Cluster_911,Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Glomeromycotina;Glomerales;Glomus;Glomus_sp.;,74.87,Low confidence / possible divergent,3545,2.25,178
Cluster_872,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium_sp.;,73.02,Low confidence / possible divergent,2443,1.55,129
Cluster_755,Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Ulvophyceae:plas;Bryopsidales:plas;Ostreobiaceae:plas;Ostreobium:plas;Ostreobium_sp.:plas;,73.29,Low confidence / possible divergent,2049,1.3,154
Cluster_27,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Uvigerinidae;Uvigerina;Uvigerina_peregrina;,58.63,Candidate novel taxon,1965,1.25,130
Cluster_205,Eukaryota;Obazoa;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Seriata;Microplana;Microplana_sp.;,44.62,Candidate novel taxon,1863,1.18,225
Cluster_961,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Microthamniales;Microthamniales_X;Trebouxia;Trebouxia_sp.;,70.6,Low confidence / possible divergent,1846,1.17,145
Cluster_952,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,80.51,Confident match,1805,1.15,105
Cluster_850,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Adeleida;Haemogregarinidae;Haemogregarina;Haemogregarina_sp.;,77.63,Low confidence / possible divergent,1624,1.03,103
Cluster_1014,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,76.44,Low confidence / possible divergent,1477,0.94,104
Cluster_434,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Piroplasmorida;Theileriidae;Theileria9;Theileria_annulata;,67.69,Low confidence / possible divergent,1283,0.82,124
